10.5.18.0, 10.5.18.255, 中国, 福建, null, 中国福建省
10.5.0.0, 10.5.255.255, 中国, 福建, 福州, 中国福建省
1.0.0.0, 1.0.0.255, 澳大利亚, null, null, 澳大利亚
1.0.1.0, 1.0.3.255, 中国, 福建, null, 中国福建省
1.0.4.0, 1.0.7.255, 澳大利亚, null, null, 澳大利亚
1.0.8.0, 1.0.15.255, 中国, 广东, null, 中国广东省
10.14.28.1, 10.14.28.21, 日本, null, null, 日本
1.0.32.0, 1.0.63.255, 中国, 广东, null, 中国广东省
1.0.64.0, 1.0.127.255, 日本, null, null, 日本
1.0.128.0, 1.0.255.255, 泰国, null, null, 泰国
1.1.0.0, 1.1.0.255, 中国, 福建, null, 中国福建省
1.1.1.0, 1.1.1.255, 澳大利亚, null, null, 澳大利亚
1.1.2.0, 1.1.7.255, 中国, 福建, null, 中国福建省
1.1.8.0, 1.1.63.255, 中国, 广东, null, 中国广东省
1.1.64.0, 1.1.127.255, 日本, null, null, 日本
1.1.128.0, 1.1.255.255, 泰国, null, null, 泰国
1.2.0.0, 1.2.1.255, 中国, 福建, null, 中国福建省
1.2.2.0, 1.2.2.255, 中国, 北京, 北京, 中国北京市
1.2.3.0, 1.2.3.255, 澳大利亚, null, null, 澳大利亚
1.2.4.0, 1.2.4.255, 中国, 北京, 北京, 中国北京市
1.2.5.0, 1.2.7.255, 中国, 福建, null, 中国福建省
1.2.8.0, 1.2.127.255, 中国, 广东, null, 中国广东省
1.2.128.0, 1.2.255.255, 泰国, null, null, 泰国
1.3.0.0, 1.3.255.255, 中国, 广东, null, 中国广东省
1.4.0.0, 1.4.0.255, 澳大利亚, null, null, 澳大利亚
1.4.1.0, 1.4.3.255, 中国, 福建, null, 中国福建省
1.4.4.0, 1.4.4.255, 中国, 北京, 北京, 中国北京市
1.4.5.0, 1.4.7.255, 中国, 福建, null, 中国福建省
1.4.8.0, 1.4.127.255, 中国, 广东, null, 中国广东省
1.4.128.0, 1.4.255.255, 泰国, null, null, 泰国
1.5.0.0, 1.5.255.255, 日本, null, null, 日本
1.6.0.0, 1.7.255.255, 印度, null, null, 印度
1.8.0.0, 1.8.255.255, 中国, 福建, null, 中国福建省
1.9.0.0, 1.9.255.255, 马来西亚, null, null, 马来西亚
1.10.0.0, 1.10.7.255, 中国, 广东, null, 中国广东省
1.10.8.0, 1.10.9.255, 中国, 福建, null, 中国福建省
1.10.10.0, 1.10.10.255, 澳大利亚, null, null, 澳大利亚
1.10.11.0, 1.10.15.255, 中国, 福建, null, 中国福建省
1.10.16.0, 1.10.127.255, 中国, 广东, null, 中国广东省
1.10.128.0, 1.10.255.255, 泰国, null, null, 泰国
1.11.0.0, 1.11.255.255, 韩国, null, null, 韩国
1.12.0.0, 1.15.255.255, 中国, 北京, 北京, 中国北京市
1.16.0.0, 1.19.255.255, 韩国, null, null, 韩国
1.20.0.0, 1.20.255.255, 泰国, null, null, 泰国
1.21.0.0, 1.21.255.255, 日本, null, null, 日本
1.22.0.0, 1.23.255.255, 印度, null, null, 印度
1.24.0.0, 1.24.0.255, 中国, 内蒙古, 呼和浩特, 中国内蒙古自治区呼和浩特市
1.24.1.0, 1.24.7.255, 中国, 内蒙古, null, 中国内蒙古自治区
1.24.8.0, 1.24.8.255, 中国, 内蒙古, 锡林郭勒盟, 中国内蒙古自治区锡林郭勒盟市
1.24.9.0, 1.24.31.255, 中国, 内蒙古, null, 中国内蒙古自治区
1.24.32.0, 1.24.35.255, 中国, 内蒙古, 乌兰察布, 中国内蒙古自治区乌兰察布市
1.24.36.0, 1.24.36.255, 中国, 内蒙古, null, 中国内蒙古自治区
1.24.37.0, 1.24.37.255, 中国, 内蒙古, 乌兰察布, 中国内蒙古自治区乌兰察布市
1.24.38.0, 1.24.38.255, 中国, 内蒙古, null, 中国内蒙古自治区
